dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep200M,1,"IVF512,Flat",cpu,4475.748067092895,0.22342633790143684,100,100,100,0.9
deep200M,2,"IVF512,Flat",cpu,1426.9797734737397,0.7007807809116102,100,100,100,32.9
deep200M,4,"IVF512,Flat",cpu,4527.256894731521,0.22088430660158126,100,100,100,39.3
deep200M,8,"IVF512,Flat",cpu,1446.638410639763,0.6912577411502291,100,100,100,67.5
deep200M,16,"IVF512,Flat",cpu,1215.4156419754029,0.8227638064413174,100,100,100,81.9
deep200M,32,"IVF512,Flat",cpu,1247.2225623369218,0.8017815185497441,100,100,100,90.3
deep200M,64,"IVF512,Flat",cpu,1349.97481007576,0.7407545626306022,100,100,100,94.0
deep200M,128,"IVF512,Flat",cpu,1534.9627822160721,0.6514815939421474,100,100,100,95.5
deep200M,256,"IVF512,Flat",cpu,1933.4455090284348,0.5172113697181487,100,100,100,97.6
deep200M,512,"IVF512,Flat",cpu,2482.671365427971,0.40279193369099686,100,100,100,98.3
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep200M,1,"IVF1024,Flat",cpu,8906.701685285569,0.11227500766664981,100,100,100,1.2
deep200M,2,"IVF1024,Flat",cpu,2810.265201354027,0.3558383029182389,100,100,100,24.7
deep200M,4,"IVF1024,Flat",cpu,3324.964228248596,0.30075511534953975,100,100,100,36.5
deep200M,8,"IVF1024,Flat",cpu,1499.2204199790954,0.667013326842189,100,100,100,56.6
deep200M,16,"IVF1024,Flat",cpu,1385.9488531827926,0.7215273476387878,100,100,100,79.1
deep200M,32,"IVF1024,Flat",cpu,1478.2494040727615,0.6764758350281591,100,100,100,85.7
deep200M,64,"IVF1024,Flat",cpu,1581.8089619874954,0.6321875928326579,100,100,100,93.5
deep200M,128,"IVF1024,Flat",cpu,1694.514209985733,0.590139636544222,100,100,100,96.1
deep200M,256,"IVF1024,Flat",cpu,1869.576029396057,0.5348806276271296,100,100,100,96.9
deep200M,512,"IVF1024,Flat",cpu,2043.5159186601638,0.489352684199129,100,100,100,97.6
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep200M,1,"IVF2048,Flat",cpu,6166.071806931495,0.16217780644005236,100,100,100,1.6
deep200M,2,"IVF2048,Flat",cpu,2964.08792655468,0.33737190824914365,100,100,100,1.5
deep200M,4,"IVF2048,Flat",cpu,3090.4021529197694,0.3235824823171359,100,100,100,38.0
deep200M,8,"IVF2048,Flat",cpu,1425.7286397457124,0.7013957439883907,100,100,100,62.2
deep200M,16,"IVF2048,Flat",cpu,1297.8222286462783,0.7705215536669238,100,100,100,75.8
deep200M,32,"IVF2048,Flat",cpu,1293.9131762266159,0.7728493830754994,100,100,100,82.1
deep200M,64,"IVF2048,Flat",cpu,1310.9380898237227,0.7628125292586978,100,100,100,86.7
deep200M,128,"IVF2048,Flat",cpu,1326.6100920677186,0.7538009894386916,100,100,100,92.0
deep200M,256,"IVF2048,Flat",cpu,1356.4113350391387,0.7372394893553035,100,100,100,95.5
deep200M,512,"IVF2048,Flat",cpu,1390.6803651332855,0.719072495069101,100,100,100,96.6
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
deep200M,1,"IVF4096,Flat",cpu,3130.6198142290114,0.3194255640544055,100,100,100,2.5
deep200M,2,"IVF4096,Flat",cpu,1336.0520232439042,0.7484738487742585,100,100,100,27.7
deep200M,4,"IVF4096,Flat",cpu,4280.143147182464,0.2336370456811195,100,100,100,25.2
deep200M,8,"IVF4096,Flat",cpu,1736.6035142421722,0.5758366787806398,100,100,100,53.8
deep200M,16,"IVF4096,Flat",cpu,1286.0083144664763,0.7775999492000703,100,100,100,72.7
deep200M,32,"IVF4096,Flat",cpu,1211.9833631753922,0.8250938341100685,100,100,100,81.7
deep200M,64,"IVF4096,Flat",cpu,1223.600972509384,0.817259893108111,100,100,100,87.2
deep200M,128,"IVF4096,Flat",cpu,1223.6723935842515,0.8172121927756383,100,100,100,91.2
deep200M,256,"IVF4096,Flat",cpu,1235.9036333322524,0.8091245733324633,100,100,100,94.7
deep200M,512,"IVF4096,Flat",cpu,1241.3000356435775,0.8056070017604805,100,100,100,87.1
,,,,,,,,,
