dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text200M,1,"IVF4096,Flat",cpu,5058.940314452648,0.19766985531399672,100,100,100,1.6
text200M,2,"IVF4096,Flat",cpu,4171.550114722252,0.23971904268171101,100,100,100,0.3
text200M,4,"IVF4096,Flat",cpu,7669.174113986493,0.13039213677210318,100,100,100,9.6
text200M,8,"IVF4096,Flat",cpu,4854.592824184894,0.2059904993510767,100,100,100,71.5
text200M,16,"IVF4096,Flat",cpu,5924.713594479561,0.1687845300964024,100,100,100,86.2
text200M,32,"IVF4096,Flat",cpu,4628.7471909284595,0.2160411789090202,100,100,100,90.1
text200M,64,"IVF4096,Flat",cpu,5614.205645837784,0.17811958860847435,100,100,100,94.0
text200M,128,"IVF4096,Flat",cpu,5826.952179191113,0.1716163045873526,100,100,100,94.6
text200M,256,"IVF4096,Flat",cpu,3882.8958832550047,0.2575397409733549,100,100,100,96.6
text200M,512,"IVF4096,Flat",cpu,3393.9574763798714,0.2946412873347604,100,100,100,96.8
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text200M,1,"IVF512,Flat",cpu,9642.126592502595,0.1037115609721996,100,100,100,0.9
text200M,2,"IVF512,Flat",cpu,6964.963199422359,0.14357577655010945,100,100,100,6.2
text200M,4,"IVF512,Flat",cpu,6006.78149014473,0.16647850461027933,100,100,100,65.2
text200M,8,"IVF512,Flat",cpu,6549.612173495293,0.15268079597854048,100,100,100,57.1
text200M,16,"IVF512,Flat",cpu,5217.845904459953,0.1916499678814298,100,100,100,91.6
text200M,32,"IVF512,Flat",cpu,4745.149013192654,0.21074153777252513,100,100,100,92.6
text200M,64,"IVF512,Flat",cpu,4958.386958508491,0.20167849108348035,100,100,100,94.1
text200M,128,"IVF512,Flat",cpu,5236.93165927887,0.19095150845212688,100,100,100,95.9
text200M,256,"IVF512,Flat",cpu,5763.840093262195,0.1734954446722036,100,100,100,97.0
text200M,512,"IVF512,Flat",cpu,6871.71038590908,0.14552417721948374,100,100,100,96.9
,,,,,,,,,
